Corrected Customer Question,Corrected Frappe Query,Query Length,Category,Conversational Question
"Retrieve a list of all Expense Claim records where subject is Open, fetching subject and status, sorted by status in descending order.","frappe.get_list(""Expense Claim"", filters={""subject"": ""Open""}, fields=[""subject"", ""status""], order_by=""status desc"")",115,Medium,"Can you fetch a list of all Expense Claim records where subject is Open, fetching subject and status, sorted by status in descending order."
"Retrieve a list of all Timesheet records where date_submitted is Pending, fetching date_submitted and creation, sorted by creation in descending order.","frappe.get_list(""Timesheet"", filters={""date_submitted"": ""Pending""}, fields=[""date_submitted"", ""creation""], order_by=""creation desc"")",132,Complex,"Can you fetch a list of all Timesheet records where date_submitted is Pending, fetching date_submitted and creation, sorted by creation in descending order."
Get all employees who work in either HR or IT departments.,"frappe.get_list(""Employee"", or_filters={""department"": ""HR""}, {""department"": ""IT""}}, fields=[""name"", ""designation""])",115,Medium,Get all employees who work in either HR or IT departments.
Get all customers who belong to either Retail or Wholesale groups.,"frappe.get_list(""Customer"", or_filters={""customer_group"": ""Retail""}, {""customer_group"": ""Wholesale""}}, fields=[""name"", ""customer_name""])",136,Complex,Get all customers who belong to either Retail or Wholesale groups.
Get the total stock quantity per item.,"frappe.get_list(""Stock Entry"", fields=[""item_code"", ""sum(""""""stock_quantity"""""") as total_stock""], group_by=""item_code"")",118,Medium,Can you show me total stock quantity per item.
Get a list of all Customer Ticketing records.,"frappe.get_list(""Customer Ticketing"", fields=[""name""])",54,Simple,Can you list all Customer Ticketing records.
"Retrieve a list of all Timesheet records where date_submitted is Pending, fetching status and creation, sorted by creation in descending order.","frappe.get_list(""Timesheet"", filters={""date_submitted"": ""Pending""}, fields=[""status"", ""creation""], order_by=""creation desc"")",124,Complex,"Can you fetch a list of all Timesheet records where date_submitted is Pending, fetching status and creation, sorted by creation in descending order."
Get all sales orders that are either Pending or Processing.,"frappe.get_list(""Sales Order"", or_filters={""status"": ""Pending""}, {""status"": ""Processing""}}, fields=[""name"", ""customer_name""])",125,Complex,Get all sales orders that are either Pending or Processing.
Get all employees who work in either HR or IT departments.,"frappe.get_list(""Employee"", or_filters={""department"": ""HR""}, {""department"": ""IT""}}, fields=[""name"", ""designation""])",115,Medium,Get all employees who work in either HR or IT departments.
Get all customers who belong to either Retail or Wholesale groups.,"frappe.get_list(""Customer"", or_filters={""customer_group"": ""Retail""}, {""customer_group"": ""Wholesale""}}, fields=[""name"", ""customer_name""])",136,Complex,Get all customers who belong to either Retail or Wholesale groups.
Get a list of all BOM records.,"frappe.get_list(""BOM"", fields=[""name""])",39,Simple,Can you list all BOM records.
Get a list of 5 overdue sales invoices.,"frappe.get_list(""Sales Invoice"", filters={""status"": ""Overdue""}, fields=[""name"", ""total_amount""], limit_page_length=5)",117,Medium,Can you list 5 overdue sales invoices.
Get the number of employees per department.,"frappe.get_list(""Employee"", fields=[""department"", ""count(""""""name"""""") as employee_count""], group_by=""department"")",112,Medium,Can you show me number of employees per department.
Get the total sales per customer for paid invoices.,"frappe.get_list(""Sales Invoice"", filters={""status"": ""Paid""}, fields=[""customer_name"", ""sum(""""""grand_total"""""") as total_sales""], group_by=""customer_name"")",153,Complex,Can you show me total sales per customer for paid invoices.
"Retrieve a list of all Timesheet records where subject is Pending, fetching date_submitted and date_submitted, sorted by date_submitted in descending order.","frappe.get_list(""Timesheet"", filters={""subject"": ""Pending""}, fields=[""date_submitted"", ""date_submitted""], order_by=""date_submitted desc"")",137,Complex,"Can you fetch a list of all Timesheet records where subject is Pending, fetching date_submitted and date_submitted, sorted by date_submitted in descending order."
"Retrieve the first 20 Employee records where subject is Lead, sorted by count in descending order, starting from the 10th record.","frappe.get_list(""Employee"", filters={""subject"": ""Lead""}, fields=[""status"", ""count""], order_by=""count desc"", start=10, page_length=20, as_list=True)",147,Complex,"Can you fetch the first 20 Employee records where subject is Lead, sorted by count in descending order, starting from the 10th record."
"Retrieve a list of all Task records where subject is Approved, fetching date_submitted and status, sorted by status in descending order.","frappe.get_list(""Task"", filters={""subject"": ""Approved""}, fields=[""date_submitted"", ""status""], order_by=""status desc"")",117,Medium,"Can you fetch a list of all Task records where subject is Approved, fetching date_submitted and status, sorted by status in descending order."
Get a list of 10 customers.,"frappe.get_list(""Customer"", fields=[""name"", ""customer_name""], limit_page_length=10)",83,Medium,Can you list 10 customers.
Get the total stock quantity per item.,"frappe.get_list(""Stock Entry"", fields=[""item_code"", ""sum(""""""stock_quantity"""""") as total_stock""], group_by=""item_code"")",118,Medium,Can you show me total stock quantity per item.
Find all Purchase Order records placed between 2024-01-01 and 2024-06-30 (both inclusive).,"frappe.get_list(""Purchase Order"", filters={[""designation"", ""between"", [""2024-01-01"", ""2024-06-30""})",99,Medium,Find all Purchase Order records placed between 2024-01-01 and 2024-06-30 (both inclusive).
"Retrieve the first 20 Task records where priority is Supervisor, sorted by status in descending order, starting from the 10th record.","frappe.get_list(""Task"", filters={""priority"": ""Supervisor""}, fields=[""designation"", ""status""], order_by=""status desc"", start=10, page_length=20, as_list=True)",157,Complex,"Can you fetch the first 20 Task records where priority is Supervisor, sorted by status in descending order, starting from the 10th record."
Get a list of 5 overdue sales invoices.,"frappe.get_list(""Sales Invoice"", filters={""status"": ""Overdue""}, fields=[""name"", ""total_amount""], limit_page_length=5)",117,Medium,Can you list 5 overdue sales invoices.
Find all Employee records where designation contains Director.,"frappe.get_list(""Employee"", filters={""designation"": [""like"", ""%Director%""]})",76,Medium,Find all Employee records where designation contains Director.
Get all sales orders that are either Pending or Processing.,"frappe.get_list(""Sales Order"", or_filters={""status"": ""Pending""}, {""status"": ""Processing""}}, fields=[""name"", ""customer_name""])",125,Complex,Get all sales orders that are either Pending or Processing.
"Retrieve the first 20 Purchase Order records where status is Supervisor, sorted by priority in descending order, starting from the 10th record.","frappe.get_list(""Purchase Order"", filters={""status"": ""Supervisor""}, fields=[""subject"", ""priority""], order_by=""priority desc"", start=10, page_length=20, as_list=True)",165,Complex,"Can you fetch the first 20 Purchase Order records where status is Supervisor, sorted by priority in descending order, starting from the 10th record."
Get a list of 5 overdue sales invoices.,"frappe.get_list(""Sales Invoice"", filters={""status"": ""Overdue""}, fields=[""name"", ""total_amount""], limit_page_length=5)",117,Medium,Can you list 5 overdue sales invoices.
"Retrieve the first 20 Purchase Order records where transaction_date is Lead, sorted by count in descending order, starting from the 10th record.","frappe.get_list(""Purchase Order"", filters={""transaction_date"": ""Lead""}, fields=[""subject"", ""count""], order_by=""count desc"", start=10, page_length=20, as_list=True)",163,Complex,"Can you fetch the first 20 Purchase Order records where transaction_date is Lead, sorted by count in descending order, starting from the 10th record."
Get the total sales per customer for paid invoices.,"frappe.get_list(""Sales Invoice"", filters={""status"": ""Paid""}, fields=[""customer_name"", ""sum(""""""grand_total"""""") as total_sales""], group_by=""customer_name"")",153,Complex,Can you show me total sales per customer for paid invoices.
"Retrieve a list of all Issue records where creation is Pending, fetching subject and status, sorted by status in descending order.","frappe.get_list(""Issue"", filters={""creation"": ""Pending""}, fields=[""subject"", ""status""], order_by=""status desc"")",111,Medium,"Can you fetch a list of all Issue records where creation is Pending, fetching subject and status, sorted by status in descending order."
Get the number of employees per department.,"frappe.get_list(""Employee"", fields=[""department"", ""count(""""""name"""""") as employee_count""], group_by=""department"")",112,Medium,Can you show me number of employees per department.
Get all sales orders that are either Pending or Processing.,"frappe.get_list(""Sales Order"", or_filters={""status"": ""Pending""}, {""status"": ""Processing""}}, fields=[""name"", ""customer_name""])",125,Complex,Get all sales orders that are either Pending or Processing.
